Rank,Model,MAE,RMSE,MAPE,R2
1,SARIMA,18.93231136780943,26.808493044510424,19.74223690693799,0.7045872206676036
2,XGBoost,42.7417123582628,51.43993367965711,45.15104713943335,-0.0876402581529851
3,Mean,50.25809156123767,74.938304240935,53.695620425245984,-0.0025968361468065
4,Weekly Seasonal Naive,43.45734126984127,81.40888006825948,37.354105646263136,-0.1832109158031596
5,Daily Seasonal Naive,48.30853174603175,85.56471876821426,43.32691008021383,-0.3070977336688567
6,Naive,85.55059523809524,110.38970919802894,112.91066495866755,-1.1755836466846992
7,Drift,85.8020893795971,110.67918975059628,113.30905029508162,-1.1870088950137037
8,Chronos-T5-tiny,67.66795306735568,111.66948539748172,31.048449325223903,-0.2764218540187844
9,SARIMAX,298.51643998511275,323.181339621138,361.3341876966401,-41.931595413852
